num_critic_for_reviews,gross,genres,movie_title,num_voted_users,num_user_for_reviews,language,country,budget,title_year,imdb_score,aspect_ratio
723,760505847,Action|Adventure|Fantasy|Sci-Fi,Avatar?,886204,3054,English,USA,237000000,2009,7.9,1.78
302,309404152,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End?,471220,1238,English,USA,300000000,2007,7.1,2.35
602,200074175,Action|Adventure|Thriller,Spectre?,275868,994,English,UK,245000000,2015,6.8,2.35
813,448130642,Action|Thriller,The Dark Knight Rises?,1144337,2701,English,USA,250000000,2012,8.5,2.35
462,73058679,Action|Adventure|Sci-Fi,John Carter?,212204,738,English,USA,263700000,2012,6.6,2.35
392,336530303,Action|Adventure|Romance,Spider-Man 3?,383056,1902,English,USA,258000000,2007,6.2,2.35
324,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled?,294810,387,English,USA,260000000,2010,7.8,1.85
635,458991599,Action|Adventure|Sci-Fi,Avengers: Age of Ultron?,462669,1117,English,USA,250000000,2015,7.5,2.35
375,301956980,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince?,321795,973,English,UK,250000000,2009,7.5,2.35
673,330249062,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice?,371639,3018,English,USA,250000000,2016,6.9,2.35
434,200069408,Action|Adventure|Sci-Fi,Superman Returns?,240396,2367,English,USA,209000000,2006,6.1,2.35
403,168368427,Action|Adventure,Quantum of Solace?,330784,1243,English,UK,200000000,2008,6.7,2.35
313,423032628,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest?,522040,1832,English,USA,225000000,2006,7.3,2.35
450,89289910,Action|Adventure|Western,The Lone Ranger?,181792,711,English,USA,215000000,2013,6.5,2.35
733,291021565,Action|Adventure|Fantasy|Sci-Fi,Man of Steel?,548573,2536,English,USA,225000000,2013,7.2,2.35
258,141614023,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian?,149922,438,English,USA,225000000,2008,6.6,2.35
703,623279547,Action|Adventure|Sci-Fi,The Avengers?,995415,1722,English,USA,220000000,2012,8.1,1.85
448,241063875,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides?,370704,484,English,USA,250000000,2011,6.7,2.35
451,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3?,268154,341,English,USA,225000000,2012,6.8,1.85
422,255108370,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies?,354228,802,English,New Zealand,250000000,2014,7.5,2.35
599,262030663,Action|Adventure|Fantasy,The Amazing Spider-Man?,451803,1225,English,USA,230000000,2012,7,2.35
343,105219735,Action|Adventure|Drama|History,Robin Hood?,211765,546,English,USA,200000000,2010,6.7,2.35
509,258355354,Adventure|Fantasy,The Hobbit: The Desolation of Smaug?,483540,951,English,USA,225000000,2013,7.9,2.35
251,70083519,Adventure|Family|Fantasy,The Golden Compass?,149019,666,English,USA,180000000,2007,6.1,2.35
446,218051260,Action|Adventure|Drama|Romance,King Kong?,316018,2618,English,New Zealand,207000000,2005,7.2,2.35
315,658672302,Drama|Romance,Titanic?,793059,2528,English,USA,200000000,1997,7.7,2.35
516,407197282,Action|Adventure|Sci-Fi,Captain America: Civil War?,272670,1022,English,USA,250000000,2016,8.2,2.35
377,65173160,Action|Adventure|Sci-Fi|Thriller,Battleship?,202382,751,English,USA,209000000,2012,5.9,2.35
644,652177271,Action|Adventure|Sci-Fi|Thriller,Jurassic World?,418214,1290,English,USA,150000000,2015,7,2
750,304360277,Action|Adventure|Thriller,Skyfall?,522030,1498,English,UK,200000000,2012,7.8,2.35
